ID,Title,DateAdded,PostType,Author,Email,BlogId,Description,DateUpdated,Text,FeedBackCount,PostConfig,EntryName,DateSyndicated
110,August Meeting Announcement,2011-08-22 14:36:49.220,1,Central Ohio .NET Developers Group,contact@condg.org,0,NULL,2011-08-22 14:36:49.220,"<p>Sorry for the delay in this announcement, we had to do some last minute speaker shuffling.</p>  <h6>Sponsorship</h6>  <p>We would like to thank our yearly sponsor <a href=""http://www.improvingenterprises.com/"">Improving Enterprises</a> and our In-Kind sponsor <a href=""http://msdn.microsoft.com/en-us/default.aspx"">Microsoft</a></p>  <p><a href=""http://condg.org/images/condg_org/Windows-Live-Writer/February-Meeting-Announcement_BD2C/ie-logo_2.jpg""><img title=""ie-logo"" border=""0"" alt=""ie-logo"" src=""http://condg.org/images/condg_org/Windows-Live-Writer/February-Meeting-Announcement_BD2C/ie-logo_thumb.jpg"" width=""306"" height=""117"" /></a></p>  <p><a href=""http://condg.org/images/condg_org/WindowsLiveWriter/JuneMeetingAnnouncement_C169/microsoft.160px_4.png""><img title=""microsoft.160px"" border=""0"" alt=""microsoft.160px"" src=""http://condg.org/images/condg_org/WindowsLiveWriter/JuneMeetingAnnouncement_C169/microsoft.160px_thumb_1.png"" width=""304"" height=""55"" /></a></p>  <p>Opportunities to sponsor CONDG are available. For more information please email <a href=""mailto:emailcontact@condg.org"">contact@condg.org</a></p>  <h6>Important Meeting Information</h6>  <p>This months meeting will be held at the office of Improving Enterprises. The Improving Enterprises office does not a have a single space large enough to hold the entire group. Therefore we will be having two “main” talks this month. Each will be given twice with a 15 minute break in between. The presenters will switch rooms so that attendee’s can keep their seat.</p>  <p>The meeting will immediately followed by an open house sponsored by Improving Enterprises. Food and beverages will be provided. The location of the Improving Enterprises office is </p>  <p>4449 Easton Way</p>  <p>Suite 100</p>  <p>Columbus, Ohio 43219</p>  <p>It is in the NetJets building on the corner of Easton Way and Stelzer rd.</p>  <h6>Topic</h6>  <p>Going Independent 101: Lessons learned from a decade of independence </p>  <h6>Abstract</h6>  <p>Breaking free from the confines of the cubicle farm and going out on your own can be one of the most satisfying things you do for your career. It can also be one of the most terrifying. This session will answer the most common questions I've been asked over the years such. These questions include ""How do I get started?"", ""Where do I find clients?"", ""How much do I charge?"" and many others. Come find out if the grass really is greener on the other side.</p>  <h6>Speaker</h6>  <p>Michael Eaton has been developing awesome solutions using Microsoft tools and technologies since 1994, but in 2001 he broke free from the confines of the cube farm to go but on his own. While he lives in the middle-of-nowhere Michigan, he serves clients throughout the mid-west. Well known for his dislike of web development and box lunches, his focus over the past few years has been on XAML-based technologies like WPF and Silverlight. He speaks at regional events and user groups, runs the Kalamazoo X Conference and helps with the Ann Arbor Give Camp. He is also a C# MVP. When not working on projects or spending time with his family, he treats his World of Warcraft addiction with ample doses of time on his XBox 360.</p>  <h6>Topic</h6>  <p>Succeeding with ATDD in the Enterprise </p>  <h6>Abstract</h6>  <p>TBA</p>  <h6>Speaker</h6>  <p>Bramha Ghosh and Andrew Vida will be presenting. Full bio’s TBA.</p>  <h6>When</h6>  <h6></h6>  <p>Thursday, 8/25/2011, 6:00 - ??</p>  <h6>Where</h6> <a href=""http://www.bing.com/maps/#JnE9LjQ0NDklMmJFYXN0b24lMmJXYXklMmJTdWl0ZSUyYjEwMCUyYkNvbHVtYnVzJTI1MmMlMmJPaGlvJTJiNDMyMTklMmIlN2Vzc3QuMCU3ZXBnLjEmYmI9NTcuMTY4ODI4NzI3NDA0MiU3ZS00My4wNjY3NTcyMDE1JTdlMjEuNzU0MDgwNjMyMDM2JTdlLTEzMi4yNzU3NDE1NzY1"">Improving Enterprises Office - Columbus</a>",0,93,August-Meeting-AnnouncementYetAgain,2011-08-22 14:36:49.780
111,September Meeting Announcement,2011-09-20 08:37:59.483,1,Central Ohio .NET Developers Group,contact@condg.org,0,NULL,2011-09-20 08:37:59.483,"<h6>Sponsorship</h6>  <p>Sponsorship for this meeting is courtesy of <a href=""http://www.sogeti.com/"">Sogeti</a></p>  <p><a href=""http://condg.org/images/condg_org/Windows-Live-Writer/September-Meeting-Announcement_77AD/Sogeti_Logo_2.jpg"" rel=""lightbox""><img style=""background-image: none; border-right-width: 0px; padding-left: 0px; padding-right: 0px; display: inline; border-top-width: 0px; border-bottom-width: 0px; border-left-width: 0px; padding-top: 0px"" title=""Sogeti_Logo"" border=""0"" alt=""Sogeti_Logo"" src=""http://condg.org/images/condg_org/Windows-Live-Writer/September-Meeting-Announcement_77AD/Sogeti_Logo_thumb.jpg"" width=""244"" height=""57"" /></a></p>  <p>We also would like to thank our yearly sponsor <a href=""http://www.improvingenterprises.com/"">Improving Enterprises</a> and our In-Kind sponsor <a href=""http://msdn.microsoft.com/en-us/default.aspx"">Microsoft</a></p>  <p><a href=""http://condg.org/images/condg_org/Windows-Live-Writer/February-Meeting-Announcement_BD2C/ie-logo_2.jpg""><img title=""ie-logo"" border=""0"" alt=""ie-logo"" src=""http://condg.org/images/condg_org/Windows-Live-Writer/February-Meeting-Announcement_BD2C/ie-logo_thumb.jpg"" width=""306"" height=""117"" /></a></p>  <p><a href=""http://condg.org/images/condg_org/WindowsLiveWriter/JuneMeetingAnnouncement_C169/microsoft.160px_4.png""><img title=""microsoft.160px"" border=""0"" alt=""microsoft.160px"" src=""http://condg.org/images/condg_org/WindowsLiveWriter/JuneMeetingAnnouncement_C169/microsoft.160px_thumb_1.png"" width=""304"" height=""55"" /></a></p>  <p>Opportunities to sponsor CONDG are available. For more information please email<a href=""mailto:contact@condg.org"">contact@condg.org</a></p>  <h6>Topic</h6>  <p>What’s new in Windows Phone Mango</p>  <h6>Abstract</h6>  <p>This code-heavy presentation will focus on the new developer features of the Windows Phone 7.1 release (codename Mango). We’ll cover topics like Augmented Reality, Search Extensibility, many of the sensor APIs (like camera, gps, gyro, and compass), and, of course, multi-tasking. This presentation definitely assumes some knowledge of Silverlight or Windows Phone development, but you’ll learn plenty if this is your first exposure to the technologies too. </p>  <h6>Speaker</h6>  <p>Ultra passionate. That’s how Jeff Blankenburg describes his relationship with technology. Over the past 10 years, Jeff has enthusiastically applied his technical expertise to build industry-changing websites and marketing efforts for mega brands including Victoria’s Secret, Abercrombie &amp; Fitch, Ford Motor Company, Sony, and several pharmaceutical companies. He’s especially proficient in user interface design, web standards and mobile application development. In addition to his developer evangelist role for Microsoft, Jeff contributed to the O’Reilly title Windows Developer Power Tools on the subject of code validation services, and is currently authoring a Windows Phone development book due out in November 2011. He also serves as an organizer for the CodeMash and Stir Trek conferences. On the academic front, Jeff holds a Bachelor of Science degree in Psychology from Ohio’s Bowling Green State University.</p>  <h6>Grok Talk Topic</h6>  <p>Windows 8 from 30K feet</p>  <h6>Abstract</h6>  <p>Heard the buzz last week about Windows 8? What's Metro &amp; what's Retro? We take a very brief deep-dive into some of the architecture, inspiration &amp; strategy that went into Windows 8, and then try to make sense of WinRT. We also do a little lap around the development platform &amp; see how our skills carry forward in the new world!</p>  <h6>Speaker</h6>  <p>Samidip Basu (@samidip) is a technologist &amp; gadget-lover working as a Manager &amp; Solutions Lead for Sogeti out of the Columbus Unit. Having worked on WP7 since CTP days, he now spends much of his time in spreading the word to discover the full potential of the Windows Phone platform &amp; cloud-based mobile solutions in general. He passionately runs the Central Ohio Windows Phone User Group (http://cowpug.org) and can be found with atleast a couple of hobbyist projects at any time. His spare times call for travel and culinary adventures with the wife. Find out more at http://samidipbasu.com.</p>  <h6>Pizza/Geek Dinner</h6>  <p>Pizza will be provided as a snack during the meeting. A Geek Dinner will be held immediately after the meeting at <a href=""http://www.bing.com/local/details.aspx?lid=YN671x11725012&amp;qt=yp&amp;what=claddagh&amp;where=Columbus,+Ohio&amp;s_cid=ansPhBkYp02&amp;mkt=en-us&amp;q=claddagh&amp;FORM=LARE"">Claddagh Irish Pub at 8745 Sancus Blvd., Columbus OH</a></p>  <h6>When</h6>  <h6></h6>  <p>Thursday, 9/22/2011, 6:00 - ??</p>  <h6>Where</h6> <a href=""http://maps.google.com/maps?f=q&amp;hl=en&amp;q=8800+Lyra+Dr.+Columbus,+OH+43240&amp;om=1"">Microsoft Office - Columbus</a>",0,93,September-Meeting-AnnouncementAndAgain,2011-09-20 08:38:00.700
112,Free Lunch and Learn: Building Metro Style Applications in Windows 8 Friday October 21st,2011-10-19 22:37:00.287,1,Central Ohio .NET Developers Group,contact@condg.org,0,NULL,2011-10-19 22:37:00.287,"<p>CONDG’s yearly sponsor, <a href=""www.improvingEnterprises.com"" target=""_blank"">Improving Enterprises</a> is hosting a fee lunch and learn this Friday. This event is free and open to everyone.</p>  <p><img title=""ie-logo"" border=""0"" alt=""ie-logo"" src=""http://condg.org/images/condg_org/Windows-Live-Writer/February-Meeting-Announcement_BD2C/ie-logo_thumb.jpg"" width=""306"" height=""117"" /></p>  <p><strong>Abstract</strong>: The recent announcement of Windows 8 and the Metro interface has caused a lot of excitement. It has also raised a lot of questions for .NET developers. What’s WinRT? Does this mean that .NET or Silverlight or WPF are going away? Will my existing .NET skills transfer over to this new paradigm? What happens to desktop applications? How do I write Metro style applications?</p>  <p>This presentation will answer all these questions and give developers a better idea of where Windows is heading in the future. You will see how to develop Metro style applications using both HTML 5/JavaScript stack as well as with C# with XAML. You’ll see how Metro style applications are fundamentally different from traditional desktop applications and discuss the attributes of a quality Metro style application.</p>  <p>Speaker Bio: James is the Principal Technology Evangelist and Application Development Practice Manager for the The Sophic Group in Columbus, OH. James has been involved in software development and architecture for 16 years. He has worked as a developer and architect on everything from small, single-user applications to Enterprise-scale, multi-user systems. His specialties are .NET development and architecture, SOA, WCF, WF, cloud computing, and agile development methodologies. He is an experienced mentor and author. James is a Microsoft MVP.</p>  <p>James will be joined by fellow Improvers Dan Shultz and John Nastase.</p>  <p>This event is free, but prior registration is appreciated. You can register at <a href=""http://improvingcolumbus-windows8.eventbrite.com/"">http://improvingcolumbus-windows8.eventbrite.com/</a></p>",0,93,Free-Lunch-and-Learn-Building-Metro-Style-Applications-in-Windows,2011-10-19 22:37:00.367
113,October Meeting Announcement,2011-10-25 14:02:03.293,1,Central Ohio .NET Developers Group,contact@condg.org,0,NULL,2011-10-25 14:02:03.293,"<h6>Sponsorship</h6>  <p>Sponsorship for this meeting is available. E-mail <a href=""mailto:contact@condg.org"">contact@condg.org</a> for more information.</p>  <p>We would like to thank our yearly sponsor <a href=""http://www.improvingenterprises.com/"">Improving Enterprises</a> and our In-Kind sponsor <a href=""http://msdn.microsoft.com/en-us/default.aspx"">Microsoft</a></p>  <p><a href=""http://condg.org/images/condg_org/Windows-Live-Writer/February-Meeting-Announcement_BD2C/ie-logo_2.jpg""><img title=""ie-logo"" border=""0"" alt=""ie-logo"" src=""http://condg.org/images/condg_org/Windows-Live-Writer/February-Meeting-Announcement_BD2C/ie-logo_thumb.jpg"" width=""306"" height=""117"" /></a></p>  <p><a href=""http://condg.org/images/condg_org/WindowsLiveWriter/JuneMeetingAnnouncement_C169/microsoft.160px_4.png""><img title=""microsoft.160px"" border=""0"" alt=""microsoft.160px"" src=""http://condg.org/images/condg_org/WindowsLiveWriter/JuneMeetingAnnouncement_C169/microsoft.160px_thumb_1.png"" width=""304"" height=""55"" /></a></p>  <p>Opportunities to sponsor CONDG are available. For more information please email <a href=""mailto:contact@condg.org"">contact@condg.org</a></p>  <h6>Topic</h6>  <p>First Class Test Code</p>  <h6>Abstract</h6>  <p>Whether you test first, in parallel, or ""eventually"", some things remain the same. The need for tools and techniques that allow us to test edge and corner cases, and the need for maintainable, reusable testing code. In this session, we'll cover some interesting tools from Microsoft Research, Pex and Moles. Pex provides for automated identification and testing of edge and corner cases in code, while Moles allows you to test dark corners that were previously untestable. We'll also cover some common principles, patterns, and practices to help make your unit and integration testing code easier to understand and maintain in the long run.</p>  <h6>Speaker</h6>  <p>Mel Grubb has been a professional developer since 1995, and a .NET developer from the early days of v1.0. He is currently a consultant for Quick Solutions in Columbus, Ohio. A ""gadget geek"", Mel likes to focus on identifying and promoting tools and techniques that enhance developer productivity and reduce friction, because our jobs should be interesting and fun, too.</p>  <h6>Grok Talk Topic</h6>  <p>TBD</p>  <h6>Pizza/Geek Dinner</h6>  <p>Pizza will be provided as a snack during the meeting. A Geek Dinner will be held immediately after the meeting at <a href=""http://www.bing.com/local/details.aspx?lid=YN671x11725012&amp;qt=yp&amp;what=claddagh&amp;where=Columbus,+Ohio&amp;s_cid=ansPhBkYp02&amp;mkt=en-us&amp;q=claddagh&amp;FORM=LARE"">Claddagh Irish Pub at 8745 Sancus Blvd., Columbus OH</a></p>  <h6>When</h6>  <h6></h6>  <p>Thursday, 10/27/2011, 6:00 - ??</p>  <h6>Where</h6> <a href=""http://maps.google.com/maps?f=q&amp;hl=en&amp;q=8800+Lyra+Dr.+Columbus,+OH+43240&amp;om=1"">Microsoft Office - Columbus</a>",0,93,October-Meeting-AnnouncementYetAgain,2011-10-25 14:02:03.810
114,Central Ohio Day of .NET is December 10th,2011-11-15 11:42:43.800,1,Central Ohio .NET Developers Group,contact@condg.org,0,NULL,2011-11-15 11:42:43.800,"<p>The Central Ohio Day of .NET will be held at Indiana Wesleyan University at 3455 Mill Run Drive, Suite 200 in Hilliard.</p>  <p>This is a one-day conference that will enable attendees to see talks on a wide range of subjects from some of the most popular speakers in the .NET community. </p>  <p>For more information, included a list of talks please visit <a href=""http://www.cododn.org"">www.cododn.org</a> (please note that more talks will be going up on the agenda this week!)</p>  <p>To register go to <a href=""http://cododn.eventbrite.com/"">http://cododn.eventbrite.com/</a> </p>  <p>This is always a great event and we look forward to seeing a strong turnout for the Columbus .NET community!</p>",0,93,Central-Ohio-Day-of-.NET-is-December-10th,2011-11-15 11:42:43.940
116,November/December Meeting,2011-11-24 02:09:15.617,1,Central Ohio .NET Developers Group,contact@condg.org,0,NULL,2011-11-24 02:09:15.617,"<h6>Special Notice</h6>  <p>The November and December meetings of CONDG will be combined and held on a special day; Thursday December 8th at the Microsoft office in Columbus.</p>  <h6>Sponsorship</h6>  <p>Sponsorship for this and upcoming meetings are available. E-mail <a href=""mailto:contact@condg.org"">contact@condg.org</a> for more information.</p>  <p>We would like to thank our yearly sponsor <a href=""http://www.improvingenterprises.com/"">Improving Enterprises</a> and our In-Kind sponsor <a href=""http://msdn.microsoft.com/en-us/default.aspx"">Microsoft</a></p>  <p><a href=""http://condg.org/images/condg_org/Windows-Live-Writer/February-Meeting-Announcement_BD2C/ie-logo_2.jpg""><img title=""ie-logo"" border=""0"" alt=""ie-logo"" src=""http://condg.org/images/condg_org/Windows-Live-Writer/February-Meeting-Announcement_BD2C/ie-logo_thumb.jpg"" width=""306"" height=""117"" /></a></p>  <p><a href=""http://condg.org/images/condg_org/WindowsLiveWriter/JuneMeetingAnnouncement_C169/microsoft.160px_4.png""><img title=""microsoft.160px"" border=""0"" alt=""microsoft.160px"" src=""http://condg.org/images/condg_org/WindowsLiveWriter/JuneMeetingAnnouncement_C169/microsoft.160px_thumb_1.png"" width=""304"" height=""55"" /></a></p>  <p>Opportunities to sponsor CONDG are available. For more information please email<a href=""mailto:contact@condg.org"">contact@condg.org</a></p>  <h6>Topic</h6>  <p>Real world Conference data &amp; a Windows Phone App!</p>  <h6>Abstract</h6>  <p>Heard about OData empowering Mobile solutions? Think cloud augmentation is mostly for hobbyists? Well, come join us for the next CONDG meeting and we shall see how some of these newer technologies helped solve a real world problem. Fresh off the press is Columbus's own Mobile Conference ""M3 Conf"" (<a href=""http://m3conf.com"">http://m3conf.com</a>/). We shall take a quick deep-dive into how we exposed the conference catalog as a data feed &amp; in general, how to set up an OData service. We look into how Azure fits in the picture. But, what good is a data feed without Mobile apps? So next, we peek inside the making of a Windows Phone M3 conference app. Talking points would include how to consume and hydrate/rehydrate OData in an app, flipping Live Tiles both in-app &amp; pinned and other real word Windows Phone development tips. Hope you enjoy!</p>  <h6>Speaker</h6>  <p>Samidip Basu (<a href=""http://twitter.com/#!/samidip"">@samidip</a>) is a technologist &amp; gadget-lover working as a Manager &amp; Solutions Lead for Sogeti out of the Columbus Unit. Having worked on WP7 since CTP days, he now spends much of his time in spreading the word to discover the full potential of the Windows Phone platform &amp; cloud-based mobile solutions in general. He passionately runs the Central Ohio Windows Phone User Group (<a href=""http://cowpug.org/"">http://cowpug.org</a>), labors in M3 Conf (<a href=""http://m3conf.com"">http://m3conf.com</a>/) organization and can be found with at least a couple of hobbyist projects at any time. His spare times call for travel and culinary adventures with the wife. Find out more at <a href=""http://samidipbasu.com/"">http://samidipbasu.com</a><a href=""http://samidipbasu.com/"">.</a></p>  <h6>Elections</h6>  <p>Elections for the CONDG board for 2012 will be held at the meeting. To be eligible to run for office or vote you must have attended three of the past five meetings, including the November/December meeting. </p>  <p>The following offices are available, followed by the names of the current candidates:</p>  <ul>   <li><strong>President</strong> – Brian Sherwin, Vince Fabro, Chris Farrell </li>    <li><strong>Vice-President</strong> – Brahma Ghosh </li>    <li><strong>Treasurer</strong> – Brandon Schott </li>    <li><strong>Secretary</strong> – </li> </ul>  <p>There is still time to get on the ballot. email <a href=""mailto:contact@condg.org"">contact@condg.org</a> for more information.</p>  <h6>Pizza/Geek Dinner</h6>  <p>Pizza will be provided as a snack during the meeting. A Geek Dinner will be held immediately after the meeting at <a href=""http://www.bing.com/local/details.aspx?lid=YN671x11725012&amp;qt=yp&amp;what=claddagh&amp;where=Columbus,+Ohio&amp;s_cid=ansPhBkYp02&amp;mkt=en-us&amp;q=claddagh&amp;FORM=LARE"">Claddagh Irish Pub at 8745 Sancus Blvd., Columbus OH</a></p>  <h6>When</h6>  <h6></h6>  <p>Thursday, 12/08/2011, 6:00 - ??</p>  <h6>Where</h6> <a href=""http://maps.google.com/maps?f=q&amp;hl=en&amp;q=8800+Lyra+Dr.+Columbus,+OH+43240&amp;om=1"">Microsoft Office - Columbus</a>",0,93,NovemberDecember-Meeting,2011-11-24 02:09:15.630
117,Election for 2012 CONDG Officers,2011-12-06 20:04:47.167,1,Central Ohio .NET Developers Group,contact@condg.org,0,NULL,2011-12-06 20:04:47.167,"<p>Elections will be held at the meeting on the 8th. To be eligible to run for office or vote you must have attended three of the last five meetings. The November/December meeting is counted in the five. Attendance is verified by by turning in evaluations. Upon arriving at the meeting you will need to find either James or Bramha. They will verify your name on the eligible voter list and give you a ballot. We will start the meeting with a few words from the candidates, followed by casting of votes. Votes will be tabulated during the talk and the panel of officers for 2012 will be announced at the end of the meeting.</p>  <p>The following candidates are running for the indicated office:</p>  <p>President – Brian Sherwin, Chris Farrell</p>  <p>Vice President – Bramha Ghosh</p>  <p>Treasurer – Brandon Schott</p>  <p>Secretary – Vince Fabro, Alex Moore.</p>  <p>If you have any questions, please e-mail <a href=""mailto:contact@condg.org"">contact@condg.org</a></p>",0,93,Election-for-2012-CONDG-Officers,2011-12-06 20:04:47.637
118,Results of CONDG elections,2011-12-08 22:58:18.970,1,Central Ohio .NET Developers Group,contact@condg.org,0,NULL,2011-12-08 22:58:18.970,<p>Your officers for 2012:</p>  <ul>   <li>President – Brian Sherwin</li>    <li>Vice President – Bramha Ghosh</li>    <li>Secretary – Vince Fabro</li>    <li>Treasurer – Brandon Schott</li> </ul>  <p>Congratulations to the new officers!</p>,0,93,Results-of-CONDG-elections,2011-12-08 22:58:19.000
119,January Meeting Announcement,2012-01-17 08:26:41.373,1,Central Ohio .NET Developers Group,contact@condg.org,0,NULL,2012-01-17 10:25:47.607,"<h6>Sponsorship</h6>  <p>Sponsorship for this meeting is courtesy of <a href=""http://www.leadingedje.com/"">Leading EDJE</a></p>  <p><a href=""http://leadingedje.com/images/leading-edje_logo.png"" rel=""lightbox""><img style=""background-image: none; border-right-width: 0px; padding-left: 0px; padding-right: 0px; display: inline; border-top-width: 0px; border-bottom-width: 0px; border-left-width: 0px; padding-top: 0px"" title=""LeadingEDJE_Logo"" border=""0"" alt=""LeadingEDJE_Logo"" src=""http://leadingedje.com/images/leading-edje_logo.png"" /></a></p>  <p>Just like your ‘all night college’ study sessions….intense and fun. We, at Leading EDJE, thrive on having a good time at work. We deliver off the charts technical, project and program management solutions. And, we do it, because it’s what we love. Whether we are working as a team on the project, or as the solo ‘super geek’ at a client, we all work together. Our monthly brainstorming, cell diminishing meetings give our clients and our family the collective experiences of all of us. Part of becoming our client’s trusted advisor is about having a passion for developing the best solution and enjoying the process. We have a team of ‘full-timers’ meaning we are all salaried FTEs. To our clients, it means stability. They don’t have the knowledge of their systems tied to an individual, rather they know we have their back. To our team, it means an incredible, steady support group and no ‘OMG’ moment when you hit the beach. We’ve got each other's back!</p>  <p>We also would like to thank our yearly sponsor <a href=""http://www.improvingenterprises.com/"">Improving Enterprises</a> and our In-Kind sponsor <a href=""http://msdn.microsoft.com/en-us/default.aspx"">Microsoft</a></p>  <p><a href=""http://condg.org/images/condg_org/Windows-Live-Writer/February-Meeting-Announcement_BD2C/ie-logo_2.jpg""><img title=""ie-logo"" border=""0"" alt=""ie-logo"" src=""http://condg.org/images/condg_org/Windows-Live-Writer/February-Meeting-Announcement_BD2C/ie-logo_thumb.jpg"" width=""306"" height=""117"" /></a></p>  <p><a href=""http://condg.org/images/condg_org/WindowsLiveWriter/JuneMeetingAnnouncement_C169/microsoft.160px_4.png""><img title=""microsoft.160px"" border=""0"" alt=""microsoft.160px"" src=""http://condg.org/images/condg_org/WindowsLiveWriter/JuneMeetingAnnouncement_C169/microsoft.160px_thumb_1.png"" width=""304"" height=""55"" /></a></p>  <p>Opportunities to sponsor CONDG are available. For more information please email<a href=""mailto:contact@condg.org"">contact@condg.org</a></p>  <h6>Topic</h6>  <p>Mobile Websites in ASP.NET MVC 4</p>  <h6>Abstract</h6>  <p>Mobile is no longer a developer niche. In the upcoming year more mobile devices will be sold than PCs. For web developers this means the era of targeting a handful of browsers and resolutions is ending. In response, many web frameworks have added features to support mobile. One such is ASP.NET MVC. In this talk, we will demonstrate how easy it is to get a mobile solution up and running using ASP.NET MVC 4 and discuss the strengths and weaknesses of using this approach.</p>  <h6>Speakers</h6>  <p>Josh Harrison is Director of .NET Solutions with Leading EDJE. For the past decade he has been working with organizations of all sizes to help them build custom software applications. He has written and given talks on a broad-range of Microsoft-related technology topics. Though recently his interest has been focused on the changing technologies that power the web.</p>  <p>Brad Isbell is a software developer at Leading EDJE and heads up the mobile studio. With 10 years of experience creating applications for a wide array of industries, he approaches tools and technologies open-mindedly. While specializing in the .NET environment, he enjoys exploring new geospatial and location-based technologies, mobile platforms, Java frameworks, and Ruby on Rails. Originally from Wyoming, he graduated from the University of Northern Colorado and is still fairly new to Ohio. In his spare time, he can be found hanging out with his wife, training Brazilian jiu-jitsu, and trying not to get addicted to video games.</p>  <h6>Pizza/Geek Dinner</h6>  <p>Pizza will be provided as a snack during the meeting. A Geek Dinner will be held immediately after the meeting at <a href=""http://www.bing.com/local/details.aspx?lid=YN671x11725012&amp;qt=yp&amp;what=claddagh&amp;where=Columbus,+Ohio&amp;s_cid=ansPhBkYp02&amp;mkt=en-us&amp;q=claddagh&amp;FORM=LARE"">Claddagh Irish Pub at 8745 Sancus Blvd., Columbus OH</a></p>  <h6>When</h6>  <p>Thursday, 1/26/2012, 6:00 - ??</p>  <h6>Where</h6> <a href=""http://maps.google.com/maps?f=q&amp;hl=en&amp;q=8800+Lyra+Dr.+Columbus,+OH+43240&amp;om=1"">Microsoft Office - Columbus</a>",0,93,January-Meeting-AnnouncementAndAgain,2012-01-17 08:26:41.933
120,February Meeting Announcement,2012-02-15 09:16:29.183,1,Central Ohio .NET Developers Group,contact@condg.org,0,NULL,2012-03-27 21:08:12.273,"<h6>Topic</h6>  <p>Introduction to TDD</p>  <h6>Abstract</h6>  <p>Test Driven Development (TDD) has been one of the biggest and most compelling paradigm changes to software development of the past few years. The ability to bake quality into your application as you develop it can change the way you think about software; it effects the way we approach, design and write applications. Test Driven Development is powerful. Yet many developers allow themselves to be intimidated by what they perceive as added complexity. Managers worry that the practice of ""test first"" will delay development. This presentation will explain the concepts behind TDD, outline the benefits, give you some concrete examples and some advice on how to sell it to your managers.<u></u><u></u></p>  <h6>Speaker</h6>  <p>James is the Vice President of Technology at Improving Enterprises in Columbus, OH. James has been involved in software development and architecture for 16 years. He has worked as a developer and architect on everything from small, single-user applications to Enterprise-scale, multi-user systems.  His specialties are .NET development and architecture, TDD, SOA, WCF, WF, cloud computing, and agile development methodologies. He is an experienced mentor and author. James is a Microsoft MVP and former President of the Central Ohio .NET Developers Group.  James book ""Professional Test Driven Development with C#: Developing Real World Applications with TDD"" was released in May of 2011. James maintains a blog at <a href=""http://www.jamescbender.com/"">www.jamescbender.com</a> and his Twitter ID is @JamesBender.<u></u><u></u></p>  <h6>Pizza/Geek Dinner</h6>  <p>Pizza will be provided as a snack during the meeting. A Geek Dinner will be held immediately after the meeting at <a href=""http://www.bing.com/local/details.aspx?lid=YN671x11725012&amp;qt=yp&amp;what=claddagh&amp;where=Columbus,+Ohio&amp;s_cid=ansPhBkYp02&amp;mkt=en-us&amp;q=claddagh&amp;FORM=LARE"">Claddagh Irish Pub at 8745 Sancus Blvd., Columbus OH</a></p>  <h6>When</h6>  <p>Thursday, 2/23/2012, 6:00 - ??</p>  <h6>Where</h6> <a href=""http://maps.google.com/maps?f=q&amp;hl=en&amp;q=8800+Lyra+Dr.+Columbus,+OH+43240&amp;om=1"">Microsoft Office - Columbus</a>   <h6>Sponsorship</h6>  <p>Our Sponsorship Policy has changed! Take a look <a href=""http://www.condg.org/documents/Sponsorship%20Policy.pdf"">here</a>.</p>  <p>Our Annual Sponsors:</p>  <p><a href=""http://www.improvingenterprises.com""><img border=""0"" alt=""Improving Enterprises Logo"" src=""http://condg.org/images/condg_org/Windows-Live-Writer/February-Meeting-Announcement_BD2C/ie-logo_thumb.jpg"" /></a></p>  <p><a href=""http://www.appdynamics.com""><img style=""background-color: black"" border=""0"" alt=""AppDynamics Logo"" src=""http://www.appdynamics.com/images/logo.png"" /></a></p>  <p>Our Meeting Sponsors:</p>  <p><img src=""http://www.hmbnet.com/images/HMBLogo_small.jpg"" /></p>  <p><a href=""http://www.cardinalsolutions.com""><img border=""0"" alt=""Cardinal Solutions Logo"" src=""http://www.cardinalsolutions.com/etc/designs/cardinal/clientlibs/resources/images/logo.png"" /></a></p>  <p>Generous thanks to Microsoft for giving us the meeting space.</p>  <p><a href=""http://www.microsoft.com""><img title=""microsoft.160px"" border=""0"" alt=""microsoft.160px"" src=""http://condg.org/images/condg_org/WindowsLiveWriter/JuneMeetingAnnouncement_C169/microsoft.160px_thumb_1.png"" width=""304"" height=""55"" /></a></p>  <p>Opportunities to sponsor CONDG are available. For more information please email <a href=""mailto:contact@condg.org"">contact@condg.org</a></p>",0,93,February-Meeting-AnnouncementAndAgain,2012-02-15 09:16:29.277
